Starlink_1.UTCGregorian    Starlink_1.EarthMJ2000Eq.X   Starlink_1.EarthMJ2000Eq.Y   Starlink_1.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   6920.999999999999            0                            0                            
01 Jan 2024 12:00:28.000   6906.006552483301            273.8325856760883            363.3870794954224            
01 Jan 2024 12:01:57.255   6828.394052286765            678.6312251877561            900.5609298636841            
01 Jan 2024 12:03:30.632   6677.176685389585            1095.102538918734            1453.197102627108            
01 Jan 2024 12:05:04.463   6454.694980763696            1502.021423676237            1993.112860027908            
01 Jan 2024 12:06:38.337   6163.72374993968             1893.216533863272            2512.103574777917            
01 Jan 2024 12:08:12.213   5807.437414546082            2264.360229700181            3004.412554814811            
01 Jan 2024 12:09:46.094   5389.604994339514            2611.533986112083            3464.827581126553            
01 Jan 2024 12:11:19.980   4914.650209569876            2931.064565185324            3888.463821047843            
01 Jan 2024 12:12:53.869   4387.622222789363            3219.558967442651            4270.810483100126            
01 Jan 2024 12:14:27.759   3814.121478207858            3473.958878019306            4607.803274171759            
01 Jan 2024 12:16:01.655   3200.188094903382            3691.586923621602            4895.885895123165            
01 Jan 2024 12:17:35.562   2552.294740701319            3870.140661552372            5132.002242129764            
01 Jan 2024 12:19:09.483   1877.263583597687            4007.723600024499            5313.637639404798            
01 Jan 2024 12:20:43.421   1182.216060617477            4102.860459293554            5438.839159548805            
01 Jan 2024 12:22:17.380   474.4780880179961            4154.517393750361            5506.242425521154            
01 Jan 2024 12:23:51.365   -238.4890085885665           4162.109643567423            5515.081721525698            
01 Jan 2024 12:25:25.373   -949.102684437035            4125.511437149809            5465.203158292723            
01 Jan 2024 12:26:59.394   -1649.723162722521           4045.077629405381            5357.093313103479            
01 Jan 2024 12:28:33.401   -2332.713195264648           3921.669280809999            5191.913076842809            
01 Jan 2024 12:30:07.382   -2990.72358179693            3756.623744283363            4971.457327956564            
01 Jan 2024 12:31:41.333   -3616.750542862304           3551.717768899985            4698.105696579688            
01 Jan 2024 12:33:15.253   -4204.15121504554            3309.148379833006            4374.79699531452             
01 Jan 2024 12:34:49.140   -4746.687160134576           3031.518316024062            4005.009627259044            
01 Jan 2024 12:36:22.992   -5238.614349087831           2721.799439406842            3592.712618015983            
01 Jan 2024 12:37:56.808   -5674.74118319119            2383.298139200786            3142.31933308825             
01 Jan 2024 12:39:30.591   -6050.476242194303           2019.621364060057            2658.642026428705            
01 Jan 2024 12:41:04.346   -6361.886481559147           1634.621545154168            2146.818318386504            
01 Jan 2024 12:42:38.076   -6605.709900376556           1232.377709534458            1612.285805590665            
01 Jan 2024 12:44:11.789   -6779.402835313001           817.1310197164273            1060.696074115009            
01 Jan 2024 12:45:45.491   -6881.148959683834           393.2613295044646            497.8832382849371            
01 Jan 2024 12:47:19.185   -6909.882926324588           -34.74335128662776           -70.17698943802522           
01 Jan 2024 12:48:52.871   -6865.316431431927           -462.3408931018575           -637.4394421380987           
01 Jan 2024 12:50:26.554   -6747.936502923239           -885.0234831404478           -1197.907209139122           
01 Jan 2024 12:52:00.244   -6558.984109287308           -1298.348231429401           -1745.672532968941           
01 Jan 2024 12:53:33.946   -6300.445100867379           -1697.961204145357           -2274.949022544502           
01 Jan 2024 12:55:07.662   -5975.055903529062           -2079.622769926856           -2780.105666587085           
01 Jan 2024 12:56:41.396   -5586.238601768615           -2439.308778157407           -3255.801187708677           
01 Jan 2024 12:58:15.154   -5138.07956822353            -2773.220281902377           -3696.997181131871           
01 Jan 2024 12:59:48.943   -4635.285735843462           -3077.825161439881           -4099.013474526521           
01 Jan 2024 13:01:22.765   -4083.139424030561           -3349.892716557171           -4457.574122845599           
01 Jan 2024 13:02:56.624   -3487.453929550051           -3586.524543520728           -4768.848447200802           
01 Jan 2024 13:04:30.518   -2854.53230810185            -3785.183739054564           -5029.489840055952           
01 Jan 2024 13:06:04.450   -2191.060218945185           -3943.739444786467           -5236.694579151364           
01 Jan 2024 13:07:38.416   -1504.076938326458           -4060.477181582365           -5388.21556386857            
01 Jan 2024 13:09:12.413   -800.8916157775245           -4134.125609112481           -5482.397551779492           
01 Jan 2024 13:10:46.426   -89.07628066719164           -4163.873316683864           -5518.199514366222           
01 Jan 2024 13:12:20.445   623.7246718324905            -4149.397826599678           -5495.232221348545           
01 Jan 2024 13:13:54.447   1329.784274164861            -4090.872490268041           -5413.767459197469           
01 Jan 2024 13:15:28.425   2021.550008526245            -3988.957810994989           -5274.725115537725           
01 Jan 2024 13:17:02.380   2691.716627850435            -3844.766403331958           -5079.626160730543           
